Qué,Pregunta,Respuesta,Nivel CSV,Nivel en el juego
nivel cambiado,Nombra una provincia de España,Álava,4,3
nivel cambiado,Nombra una provincia de España,Bizkaia,4,2
nivel cambiado,Nombra una provincia de España,Gipuzkoa,5,2
nivel cambiado,Nombra una provincia de España,La Rioja,5,2
nivel cambiado,Nombra una capital de provincia española,Almería,1,2
nivel cambiado,Nombra una capital de provincia española,Huelva,1,2
nivel cambiado,Nombra una capital de provincia española,Málaga,2,1
nivel cambiado,Nombra una capital de provincia española,Sevilla,2,1
nivel cambiado,Nombra una capital de provincia española,Huesca,2,3
nivel cambiado,Nombra una capital de provincia española,Teruel,2,4
nivel cambiado,Nombra una capital de provincia española,Zaragoza,2,1
nivel cambiado,Nombra una capital de provincia española,Palma,2,1
nivel cambiado,Nombra una capital de provincia española,Santander,3,2
nivel cambiado,Nombra una capital de provincia española,Ávila,3,4
nivel cambiado,Nombra una capital de provincia española,Burgos,3,2
nivel cambiado,Nombra una capital de provincia española,León,3,2
nivel cambiado,Nombra una capital de provincia española,Palencia,3,5
nivel cambiado,Nombra una capital de provincia española,Salamanca,3,2
nivel cambiado,Nombra una capital de provincia española,Segovia,3,2
nivel cambiado,Nombra una capital de provincia española,Soria,3,4
nivel cambiado,Nombra una capital de provincia española,Valladolid,3,2
nivel cambiado,Nombra una capital de provincia española,Zamora,3,5
nivel cambiado,Nombra una capital de provincia española,Cuenca,3,4
nivel cambiado,Nombra una capital de provincia española,Guadalajara,3,4
nivel cambiado,Nombra una capital de provincia española,Toledo,3,2
nivel cambiado,Nombra una capital de provincia española,Barcelona,4,1
nivel cambiado,Nombra una capital de provincia española,Girona,4,2
nivel cambiado,Nombra una capital de provincia española,Lleida,4,3
nivel cambiado,Nombra una capital de provincia española,Tarragona,4,2
nivel cambiado,Nombra una capital de provincia española,Alicante,4,1
nivel cambiado,Nombra una capital de provincia española,Castellón de la Plana,4,3
nivel cambiado,Nombra una capital de provincia española,Valencia,4,1
nivel cambiado,Nombra una capital de provincia española,Badajoz,4,2
nivel cambiado,Nombra una capital de provincia española,Cáceres,4,2
nivel cambiado,Nombra una capital de provincia española,A Coruña,4,2
nivel cambiado,Nombra una capital de provincia española,Lugo,4,3
nivel cambiado,Nombra una capital de provincia española,Ourense,4,3
nivel cambiado,Nombra una capital de provincia española,Pontevedra,4,2
nivel cambiado,Nombra una capital de provincia española,Madrid,4,1
nivel cambiado,Nombra una capital de provincia española,Murcia,4,1
nivel cambiado,Nombra una capital de provincia española,Pamplona,4,2
nivel cambiado,Nombra una capital de provincia española,Vitoria-Gasteiz,4,2
nivel cambiado,Nombra una capital de provincia española,Bilbao,4,1
nivel cambiado,Nombra una capital de provincia española,Donostia-San Sebastián,5,2
nivel cambiado,Nombra una capital de provincia española,Logroño,5,2
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Deportivo Alavés,2,3
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Elche CF,2,3
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,FC Barcelona,3,1
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Getafe CF,3,2
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Málaga CF,3,2
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Rayo Vallecano,3,2
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,RC Deportivo de La Coruña,4,2
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,RCD Espanyol de Barcelona,4,2
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Real Betis,4,1
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Real Madrid,4,1
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Real Sociedad,4,2
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Sevilla FC,4,1
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Valencia CF,4,1
nivel cambiado,Nombra un equipo de LaLiga de esta temporada,Villarreal CF,5,2
nivel cambiado,Nombra un país del mundo,Albania,2,3
nivel cambiado,Nombra un país del mundo,Antigua y Barbuda,3,5
nivel cambiado,Nombra un país del mundo,Azerbaiyán,3,4
nivel cambiado,Nombra un país del mundo,Bahrein,3,4
nivel cambiado,Nombra un país del mundo,Barbados,3,4
nivel cambiado,Nombra un país del mundo,Bélgica,1,2
nivel cambiado,Nombra un país del mundo,Belice,3,4
nivel cambiado,Nombra un país del mundo,Benín,3,4
nivel cambiado,Nombra un país del mundo,Bután,3,5
nivel cambiado,Nombra un país del mundo,Bolivia,3,2
nivel cambiado,Nombra un país del mundo,Brunei,3,5
nivel cambiado,Nombra un país del mundo,Burkina Faso,3,4
nivel cambiado,Nombra un país del mundo,Burundi,3,5
nivel cambiado,Nombra un país del mundo,Cabo Verde,3,4
nivel cambiado,Nombra un país del mundo,Canadá,2,1
nivel cambiado,Nombra un país del mundo,República Centroafricana,3,4
nivel cambiado,Nombra un país del mundo,Chad,3,4
nivel cambiado,Nombra un país del mundo,República Checa,3,2
nivel cambiado,Nombra un país del mundo,Corea del Norte,3,2
nivel cambiado,Nombra un país del mundo,Yibuti,3,5
nivel cambiado,Nombra un país del mundo,Dominica,3,5
nivel cambiado,Nombra un país del mundo,Egipto,2,1
nivel cambiado,Nombra un país del mundo,Eritrea,3,5
nivel cambiado,Nombra un país del mundo,Suazilandia,3,5
nivel cambiado,Nombra un país del mundo,Fiyi,3,4
nivel cambiado,Nombra un país del mundo,Gabón,3,4
nivel cambiado,Nombra un país del mundo,Gambia,3,4
nivel cambiado,Nombra un país del mundo,Grecia,1,2
nivel cambiado,Nombra un país del mundo,Grenada,3,5
nivel cambiado,Nombra un país del mundo,Guatemala,3,2
nivel cambiado,Nombra un país del mundo,Guinea-Bisáu,3,4
nivel cambiado,Nombra un país del mundo,Guyana,3,4
nivel cambiado,Nombra un país del mundo,Honduras,3,2
nivel cambiado,Nombra un país del mundo,Hungría,3,2
nivel cambiado,Nombra un país del mundo,Islandia,3,2
nivel cambiado,Nombra un país del mundo,Irlanda,1,2
nivel cambiado,Nombra un país del mundo,Kenia,3,2
nivel cambiado,Nombra un país del mundo,Kirguizistán,3,5
nivel cambiado,Nombra un país del mundo,Laos,4,3
nivel cambiado,Nombra un país del mundo,Letonia,4,3
nivel cambiado,Nombra un país del mundo,Líbano,4,3
nivel cambiado,Nombra un país del mundo,Lesotho,4,5
nivel cambiado,Nombra un país del mundo,Libia,4,3
nivel cambiado,Nombra un país del mundo,Liechtenstein,4,3
nivel cambiado,Nombra un país del mundo,Lituania,4,3
nivel cambiado,Nombra un país del mundo,Luxemburgo,4,3
nivel cambiado,Nombra un país del mundo,Madagascar,4,3
nivel cambiado,Nombra un país del mundo,Malasia,4,3
nivel cambiado,Nombra un país del mundo,Maldivas,4,3
nivel cambiado,Nombra un país del mundo,Mali,4,3
nivel cambiado,Nombra un país del mundo,Malta,4,3
nivel cambiado,Nombra un país del mundo,Islas Marshall,4,5
nivel cambiado,Nombra un país del mundo,Mauritania,4,3
nivel cambiado,Nombra un país del mundo,Micronesia,4,5
nivel cambiado,Nombra un país del mundo,Mónaco,4,2
nivel cambiado,Nombra un país del mundo,Mongolia,4,3
nivel cambiado,Nombra un país del mundo,Montenegro,4,3
nivel cambiado,Nombra un país del mundo,Marruecos,2,1
nivel cambiado,Nombra un país del mundo,Mozambique,4,3
nivel cambiado,Nombra un país del mundo,Myanmar (Birmania),4,3
nivel cambiado,Nombra un país del mundo,Namibia,4,3
nivel cambiado,Nombra un país del mundo,Nauru,4,5
nivel cambiado,Nombra un país del mundo,Nepal,4,3
nivel cambiado,Nombra un país del mundo,Países Bajos,1,2
nivel cambiado,Nombra un país del mundo,Nicaragua,4,3
nivel cambiado,Nombra un país del mundo,Nigeria,4,2
nivel cambiado,Nombra un país del mundo,Macedonia,4,3
nivel cambiado,Nombra un país del mundo,Omán,4,3
nivel cambiado,Nombra un país del mundo,Palau,4,5
nivel cambiado,Nombra un país del mundo,Paraguay,4,2
nivel cambiado,Nombra un país del mundo,Catar,4,2
nivel cambiado,Nombra un país del mundo,Moldavia,4,3
nivel cambiado,Nombra un país del mundo,Ruanda,4,3
nivel cambiado,Nombra un país del mundo,San Cristóbal y Nieves,4,5
nivel cambiado,Nombra un país del mundo,Santa Lucía,4,5
nivel cambiado,Nombra un país del mundo,San Vicente y Granadinas,4,5
nivel cambiado,Nombra un país del mundo,Samoa,4,5
nivel cambiado,Nombra un país del mundo,San Marino,4,3
nivel cambiado,Nombra un país del mundo,Arabia Saudí,4,2
nivel cambiado,Nombra un país del mundo,Senegal,4,2
nivel cambiado,Nombra un país del mundo,Serbia,2,3
nivel cambiado,Nombra un país del mundo,Singapur,4,3
nivel cambiado,Nombra un país del mundo,República Eslovaca,4,3
nivel cambiado,Nombra un país del mundo,Eslovenia,4,3
nivel cambiado,Nombra un país del mundo,Islas Salomón,4,5
nivel cambiado,Nombra un país del mundo,Somalia,4,3
nivel cambiado,Nombra un país del mundo,República de Sudáfrica,4,2
nivel cambiado,Nombra un país del mundo,Sri Lanka,4,3
nivel cambiado,Nombra un país del mundo,Sudán,4,3
nivel cambiado,Nombra un país del mundo,Suiza,1,2
nivel cambiado,Nombra un país del mundo,Siria,4,2
nivel cambiado,Nombra un país del mundo,Tayikistán,4,5
nivel cambiado,Nombra un país del mundo,Timor Oriental,4,5
nivel cambiado,Nombra un país del mundo,Tonga,4,5
nivel cambiado,Nombra un país del mundo,Túnez,4,2
nivel cambiado,Nombra un país del mundo,Turkmenistán,4,5
nivel cambiado,Nombra un país del mundo,Tuvalu,4,5
nivel cambiado,Nombra un país del mundo,Uganda,4,3
nivel cambiado,Nombra un país del mundo,Tanzania,4,3
nivel cambiado,Nombra un país del mundo,Uzbekistán,4,3
nivel cambiado,Nombra un país del mundo,Vanuatu,4,5
nivel cambiado,Nombra un país del mundo,Yemen,4,3
nivel cambiado,Nombra un país del mundo,Zambia,4,3
nivel cambiado,Nombra un país del mundo,Zimbabue,4,3
nivel cambiado,Nombra la capital de un país,Tirana,2,3
nivel cambiado,Nombra la capital de un país,Luanda,2,3
nivel cambiado,Nombra la capital de un país,Saint John's,2,5
nivel cambiado,Nombra la capital de un país,Canberra,1,2
nivel cambiado,Nombra la capital de un país,Manama,3,4
nivel cambiado,Nombra la capital de un país,Bridgetown,3,4
nivel cambiado,Nombra la capital de un país,Belmopan,3,4
nivel cambiado,Nombra la capital de un país,Porto-Novo,3,5
nivel cambiado,Nombra la capital de un país,Thimphu,3,5
nivel cambiado,Nombra la capital de un país,Gaborone,3,4
nivel cambiado,Nombra la capital de un país,Brasília,1,2
nivel cambiado,Nombra la capital de un país,Bandar Seri Begawan,3,5
nivel cambiado,Nombra la capital de un país,Sofia,3,2
nivel cambiado,Nombra la capital de un país,Ouagadougou,3,4
nivel cambiado,Nombra la capital de un país,Gitega,3,5
nivel cambiado,Nombra la capital de un país,Praia,3,4
nivel cambiado,Nombra la capital de un país,Ottawa,1,2
nivel cambiado,Nombra la capital de un país,Bangui,3,4
nivel cambiado,Nombra la capital de un país,N'Djamena,3,4
nivel cambiado,Nombra la capital de un país,Brazzaville,3,4
nivel cambiado,Nombra la capital de un país,Yamoussoukro,3,5
nivel cambiado,Nombra la capital de un país,Prague,3,2
nivel cambiado,Nombra la capital de un país,Djibouti,3,5
nivel cambiado,Nombra la capital de un país,Roseau,3,5
nivel cambiado,Nombra la capital de un país,Asmara,3,5
nivel cambiado,Nombra la capital de un país,Mbabane,3,5
nivel cambiado,Nombra la capital de un país,Suva,3,4
nivel cambiado,Nombra la capital de un país,Libreville,3,4
nivel cambiado,Nombra la capital de un país,Banjul,3,4
nivel cambiado,Nombra la capital de un país,St. George's,3,5
nivel cambiado,Nombra la capital de un país,Guatemala City,3,2
nivel cambiado,Nombra la capital de un país,Conakry,3,4
nivel cambiado,Nombra la capital de un país,Bissau,3,4
nivel cambiado,Nombra la capital de un país,Georgetown,3,4
nivel cambiado,Nombra la capital de un país,Budapest,3,2
nivel cambiado,Nombra la capital de un país,Reykjavik,3,2
nivel cambiado,Nombra la capital de un país,New Delhi,1,2
nivel cambiado,Nombra la capital de un país,Dublin,1,2
nivel cambiado,Nombra la capital de un país,Nairobi,3,2
nivel cambiado,Nombra la capital de un país,Bishkek,3,5
nivel cambiado,Nombra la capital de un país,Beirut,4,2
nivel cambiado,Nombra la capital de un país,Maseru,4,5
nivel cambiado,Nombra la capital de un país,Tripoli,4,3
nivel cambiado,Nombra la capital de un país,Vaduz,4,3
nivel cambiado,Nombra la capital de un país,Vilnius,4,3
nivel cambiado,Nombra la capital de un país,Luxembourg,4,2
nivel cambiado,Nombra la capital de un país,Antananarivo,4,3
nivel cambiado,Nombra la capital de un país,Kuala Lumpur,4,3
nivel cambiado,Nombra la capital de un país,Malé,4,3
nivel cambiado,Nombra la capital de un país,Bamako,4,3
nivel cambiado,Nombra la capital de un país,Valletta,4,3
nivel cambiado,Nombra la capital de un país,Majuro,4,5
nivel cambiado,Nombra la capital de un país,Nouakchott,4,3
nivel cambiado,Nombra la capital de un país,Palikir,4,5
nivel cambiado,Nombra la capital de un país,Monaco,4,2
nivel cambiado,Nombra la capital de un país,Ulan Bator,4,3
nivel cambiado,Nombra la capital de un país,Maputo,4,3
nivel cambiado,Nombra la capital de un país,Windhoek,4,3
nivel cambiado,Nombra la capital de un país,Yaren,4,5
nivel cambiado,Nombra la capital de un país,Kathmandu,4,3
nivel cambiado,Nombra la capital de un país,Managua,4,3
nivel cambiado,Nombra la capital de un país,Abuja,4,3
nivel cambiado,Nombra la capital de un país,Skopje,4,3
nivel cambiado,Nombra la capital de un país,Muscat,4,3
nivel cambiado,Nombra la capital de un país,Ngerulmud,4,5
nivel cambiado,Nombra la capital de un país,Asunción,4,2
nivel cambiado,Nombra la capital de un país,Doha,4,2
nivel cambiado,Nombra la capital de un país,Chișinău,4,3
nivel cambiado,Nombra la capital de un país,Kigali,4,3
nivel cambiado,Nombra la capital de un país,Basseterre,4,5
nivel cambiado,Nombra la capital de un país,Castries,4,5
nivel cambiado,Nombra la capital de un país,Kingstown,4,5
nivel cambiado,Nombra la capital de un país,Apia,4,5
nivel cambiado,Nombra la capital de un país,City of San Marino,4,3
nivel cambiado,Nombra la capital de un país,Riyadh,4,2
nivel cambiado,Nombra la capital de un país,Dakar,4,2
nivel cambiado,Nombra la capital de un país,Singapore,4,3
nivel cambiado,Nombra la capital de un país,Bratislava,4,3
nivel cambiado,Nombra la capital de un país,Ljubljana,4,3
nivel cambiado,Nombra la capital de un país,Honiara,4,5
nivel cambiado,Nombra la capital de un país,Mogadishu,4,3
nivel cambiado,Nombra la capital de un país,Pretoria,4,3
nivel cambiado,Nombra la capital de un país,Sri Jayawardenepura Kotte,4,5
nivel cambiado,Nombra la capital de un país,Khartoum,4,3
nivel cambiado,Nombra la capital de un país,Bern,1,2
nivel cambiado,Nombra la capital de un país,Damascus,4,2
nivel cambiado,Nombra la capital de un país,Dushanbe,4,5
nivel cambiado,Nombra la capital de un país,Dili,4,5
nivel cambiado,Nombra la capital de un país,Nuku'alofa,4,5
nivel cambiado,Nombra la capital de un país,Tunis,4,2
nivel cambiado,Nombra la capital de un país,Ashgabat,4,5
nivel cambiado,Nombra la capital de un país,Funafuti,4,5
nivel cambiado,Nombra la capital de un país,Kampala,4,3
nivel cambiado,Nombra la capital de un país,Tashkent,4,3
nivel cambiado,Nombra la capital de un país,Port Vila,4,5
nivel cambiado,Nombra la capital de un país,Sana'a,4,3
nivel cambiado,Nombra la capital de un país,Lusaka,4,3
nivel cambiado,Nombra la capital de un país,Harare,4,3
nivel cambiado,Nombra la capital de un país,Andorra la Vella,4,2
nivel cambiado,Nombra la capital de un país,Podgorica,4,3
nivel cambiado,Nombra la capital de un país,Naipyidó,4,5
nivel cambiado,Nombra la capital de un país,Londres,4,1
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dírham de los EAU,1,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Afgani,1,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Lek,1,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Armenian Dram,1,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Kwanza,1,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dólar australiano,1,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Azerbaijan Manat,1,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Convertible Mark,1,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Barbados Dollar,1,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Taka bangladesí,1,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Lev búlgaro,1,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dinar bareiní,1,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Burundi Franc,1,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Brunei Dollar,2,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Boliviano,2,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Mvdol,2,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Bahamian Dollar,2,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Ngultrum,2,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Pula,2,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,BYR,2,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Belize Dollar,2,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Congolese Franc,2,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,WIR Euro,2,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Franco suizo,2,1
nivel cambiado,Nombra una moneda que se use hoy en algún país,WIR Franc,2,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Unidad de Fomento,2,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Yuan chino,2,1
nivel cambiado,Nombra una moneda que se use hoy en algún país,Costa Rican Colon,2,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Peso Convertible,2,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Cabo Verde Escudo,2,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Djibouti Franc,2,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dominican Peso,2,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dinar argelino,2,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Nakfa,2,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Ethiopian Birr,2,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Fiji Dollar,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Lari,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dalasi,3,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Guinean Franc,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Guyana Dollar,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Gourde,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Forinto húngaro,3,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Nuevo séquel israelí,3,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Rupia india,3,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Yen japonés,3,1
nivel cambiado,Nombra una moneda que se use hoy en algún país,Som,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Riel,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Comorian Franc,3,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Won surcoreano,3,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Lao Kip,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Liberian Dollar,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Loti,3,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dírham marroquí,3,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Moldovan Leu,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Malagasy Ariary,3,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Denar,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Tugrik,3,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,MRO,3,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Mauritius Rupee,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Rufiyaa,3,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Malawi Kwacha,3,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Peso mexicano,3,1
nivel cambiado,Nombra una moneda que se use hoy en algún país,Naira nigeriana,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Cordoba Oro,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Corona noruega,4,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Rupia nepalesa,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dólar neozelandés,4,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Rial omaní,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Balboa,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Sol peruano,4,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Kina,4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Peso filipino,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Rupia pakistaní,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Zloty polaco,4,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Guaraní paraguayo,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Riyal catarí,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Leu rumano,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Serbian Dinar,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Rublo ruso,4,1
nivel cambiado,Nombra una moneda que se use hoy en algún país,Riyal saudí,4,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Solomon Islands Dollar,4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Corona sueca,4,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dólar de Singapur,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,STD,4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,El Salvador Colon,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Syrian Pound,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Lilangeni,4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Baht tailandés,4,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Somoni,4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Turkmenistan New Manat,4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dinar tunecino,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Pa’anga,4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Lira turca,4,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Grivna ucraniana,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dólar estadounidense,4,1
nivel cambiado,Nombra una moneda que se use hoy en algún país,US Dollar (Next day),4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,USS,4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Uruguay Peso en Unidades Indexadas (UI),4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Peso uruguayo,4,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Bolívar venezolano,4,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,Dong vietnamita,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Vatu,4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,Tala,4,5
nivel cambiado,Nombra una moneda que se use hoy en algún país,CFA Franc BEAC,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,CFA Franc BCEAO,4,3
nivel cambiado,Nombra una moneda que se use hoy en algún país,Yemeni Rial,5,4
nivel cambiado,Nombra una moneda que se use hoy en algún país,Rand,5,2
nivel cambiado,Nombra una moneda que se use hoy en algún país,ZMK,5,4
nivel cambiado,Nombra un país de África,Angola,1,3
nivel cambiado,Nombra un país de África,Argelia,1,2
nivel cambiado,Nombra un país de África,Benín,1,4
nivel cambiado,Nombra un país de África,Botswana,1,3
nivel cambiado,Nombra un país de África,Burkina Faso,2,4
nivel cambiado,Nombra un país de África,Burundi,2,5
nivel cambiado,Nombra un país de África,Cabo Verde,2,4
nivel cambiado,Nombra un país de África,Camerún,2,3
nivel cambiado,Nombra un país de África,Chad,2,4
